% Model:              Yoke ima Lab _ Vitor -V5.mph
% Version:            COMSOL 5.3.0.260
% Date:               Feb 4 2020, 17:30
% Dimension:          2
% Nodes:              451
% Expressions:        1
% Description:        Magnetic flux density norm
% Length unit:        m
% R                       Z                        mf2.normB (T)
31                        -3                       0.4833154738584877
32                        -3                       0.48102638786301044
33                        -3                       0.455241577833558
34                        -3                       0.42967685701373415
35                        -3                       0.40382817602620613
36                        -3                       0.38485117476767006
37                        -3                       0.3658473132064407
38                        -3                       0.3456268337443027
39                        -3                       0.3294909887930129
40                        -3                       0.3133159777954338
0                         -4                       0.10903984853618903
1                         -4                       0.08949872457386233
2                         -4                       0.08912888286484204
3                         -4                       0.08562334033987276
4                         -4                       0.08223490208640015
5                         -4                       0.08267543978308825
6                         -4                       0.09358091425600387
7                         -4                       0.09499950523449996
8                         -4                       0.101555594160967
9                         -4                       0.11313680251319702
10                        -4                       0.12882200284361417
11                        -4                       0.06077731334933028
12                        -4                       0.10955880911741449
13                        -4                       0.16212872869694472
14                        -4                       0.21669224559076491
15                        -4                       0.2726305627623157
16                        -4                       0.3690817051999024
17                        -4                       0.4107397985742478
18                        -4                       0.4714940787854356
19                        -4                       0.5677142465428743
20                        -4                       0.623932251756604
21                        -4                       0.6893665882511462
22                        -4                       0.7017980946507023
23                        -4                       0.7222646010833526
24                        -4                       0.751174928974103
25                        -4                       0.7639880565524654
26                        -4                       0.7088450942322
27                        -4                       0.655159987253291
28                        -4                       0.6034981588851744
29                        -4                       0.5666202497218523
30                        -4                       0.5106652827646148
31                        -4                       0.5095567875368736
32                        -4                       0.4832403545436484
33                        -4                       0.4570638274077489
34                        -4                       0.43103773652835053
35                        -4                       0.40576922727919995
36                        -4                       0.3866127697035339
37                        -4                       0.36742459588039866
38                        -4                       0.3482036747867735
39                        -4                       0.329440961533877
40                        -4                       0.31328290570516176
0                         -5                       0.09261094441491277
1                         -5                       0.07310653720657545
2                         -5                       0.0728959379687582
3                         -5                       0.06980323194350475
4                         -5                       0.0671493204168797
5                         -5                       0.06578077961525373
6                         -5                       0.08369157163058476
7                         -5                       0.07771331642518238
8                         -5                       0.0731785620416017
9                         -5                       0.07113231599268181
10                        -5                       0.07225996222685283
11                        -5                       0.07120621594526735
12                        -5                       0.09745154949717137
13                        -5                       0.1427841516727865
14                        -5                       0.19591881187784102
15                        -5                       0.26805704099636507
16                        -5                       0.2934903450385221
17                        -5                       0.37051607161747413
18                        -5                       0.4575615061757979
19                        -5                       0.5498750675798163
20                        -5                       0.558086540134706
21                        -5                       0.559730345580798
22                        -5                       0.571377420128761
23                        -5                       0.5938717283608838
24                        -5                       0.627230544577663
25                        -5                       0.6705568432671176
26                        -5                       0.614264594368822
27                        -5                       0.5589646230340279
28                        -5                       0.5052369654956841
29                        -5                       0.5335123442960661
30                        -5                       0.5156124972061519
31                        -5                       0.4948805133834386
32                        -5                       0.48575754800374954
33                        -5                       0.45928004838643055
34                        -5                       0.4328964699598665
35                        -5                       0.4078811397719017
36                        -5                       0.3885915934929756
37                        -5                       0.36591664328918866
38                        -5                       0.34989268204766116
39                        -5                       0.33383942542801
40                        -5                       0.31784980576488253
0                         -6                       0.0761906856793199
1                         -6                       0.05752447477279443
2                         -6                       0.057164541308775414
3                         -6                       0.05459253643985925
4                         -6                       0.05303879454966883
5                         -6                       0.05270409173164212
6                         -6                       0.05364865924824876
7                         -6                       0.06010958273761857
8                         -6                       0.05650314170068158
9                         -6                       0.05595184817527139
10                        -6                       0.059178045046792
11                        -6                       0.05451802579474744
12                        -6                       0.08402870245651506
13                        -6                       0.13178308185989385
14                        -6                       0.18593510829914797
15                        -6                       0.18242245084861325
16                        -6                       0.2147248698288293
17                        -6                       0.2714577780884082
18                        -6                       0.3330539325859042
19                        -6                       0.39729349991926916
20                        -6                       0.49581332898153135
21                        -6                       0.5038197805562712
22                        -6                       0.5236032152278807
23                        -6                       0.5553249936758442
24                        -6                       0.5982366023998954
25                        -6                       0.5939613746161801
26                        -6                       0.5936519844561927
27                        -6                       0.5687946031834269
28                        -6                       0.5461017124749638
29                        -6                       0.5261182243642921
30                        -6                       0.5082693072187178
31                        -6                       0.4874567767105627
32                        -6                       0.46669389643474973
33                        -6                       0.44598039544164647
34                        -6                       0.4214080737313977
35                        -6                       0.40389669918100013
36                        -6                       0.3819882842256653
37                        -6                       0.3659218349065044
38                        -6                       0.3498319845886574
39                        -6                       0.333721262108107
40                        -6                       0.3178491092887259
0                         -7                       0.05978619611067112
1                         -7                       0.04275951382953848
2                         -7                       0.042038998629191325
3                         -7                       0.040360534004065585
4                         -7                       0.03996918138299353
5                         -7                       0.04116056836059785
6                         -7                       0.04282426618154014
7                         -7                       0.04475376699197574
8                         -7                       0.04066127590965299
9                         -7                       0.04188921777535062
10                        -7                       0.047736920771564856
11                        -7                       0.03729543356631063
12                        -7                       0.0709533782007942
13                        -7                       0.12108873702382382
14                        -7                       0.13212795278739192
15                        -7                       0.15079502871598757
16                        -7                       0.17552440629937072
17                        -7                       0.2162553022093441
18                        -7                       0.28032262957106086
19                        -7                       0.3461549695488273
20                        -7                       0.4408433673217631
21                        -7                       0.4586449573959432
22                        -7                       0.48979767319240236
23                        -7                       0.5333296551758699
